name,registration_code,vat,address,phone,email,website,manager,company_type,status,registration_date,share_capital,employees,activities,description,url
"Hegelmann transporte, UAB",,,"Pirklių g. 5, Žemaitkiemio k., LT-54310 Kauno r",,,,,,,,,,transportation; car transportation; freight forwarding; logistics services; warehouses,"UAB ""Hegelmann Transporte,"" one of the Hegelmann Group companies in Lithuania, has received the prestigious ""Top Employer Lithuania"" certification from the Top Employers Institute for the third consecutive year. The globally recognized Top Employers Institute certificates are awarded to companies for their...",https://rekvizitai.vz.lt/en/company/hegelmann_transporte/
"Pastarata, UAB",,,"Skuodo g. 12F, LT-89100 Mažeikiai",,,,,,,,,,"sewing, materials; building services; manufacturing; metal construction; transportation; warehouses",,https://rekvizitai.vz.lt/en/company/pastarata/
"DFDS Seaways, AB",,,"Baltijos pr. 40, LT-93239 Klaipėda",,,,,,,,,,"water transport; coffee-bars, nightclubs, bars, restaurants; entertainment and leisure; passenger transport; tourism, travels, services; transportation",,https://rekvizitai.vz.lt/en/company/dfds_lisco/
"VV Group, UAB",,,"Kadagių kel. 6C, LT-45457 Kaunas",,,,,,,,,,"transportation; agriculture, machinery; building materials; building services; landscaping; logistics services; machinery, equipment, rental; municipal machinery; rawmaterials; road building, repair, bridges",,https://rekvizitai.vz.lt/en/company/uab_vv_group/
"Vytauto paslaugos, UAB",,,"Partizanų g. 15A, LT-50203 Kaunas",,,,,,,,,,"transportation; buses, minibuses for rent; logistics services",,https://rekvizitai.vz.lt/en/company/vytauto_paslaugos/
"Timesta, UAB",,,"Jaunimo g. 4-6, Žeimių k., Ukmergės r",,,,,,,,,,accounting services; company establishment; consulting services; legal services; transportation,,https://rekvizitai.vz.lt/en/company/timesta/
"Pasaulio stogas, MB",,,"J. Basanavičiaus g. 129C, LT-76129 Šiauliai",,,,,,,,,,"sewing, materials; advertising services; agriculture, services; building services; designing; manufacturing; metal construction; other activities; plastic, rubber and its products; retail; transportation",,https://rekvizitai.vz.lt/en/company/pasaulio_stogas/
"Mini paslauga, UAB",,,"Sodų g. 6, Lauksargiai, LT-73204 Tauragės r",,,,,,,,,,cars; car transportation; freight forwarding; logistics services; mediation; transportation,,https://rekvizitai.vz.lt/en/company/marvesta/
Kęstučio Gliziko įmonė,,,"Kalniečių g. 4, LT-44145 Kaunas",,,,,,,,,,"customs services, customs; export; finance services; import; mediation; transportation",,https://rekvizitai.vz.lt/en/company/kestucio_gliziko_imone/
"Bobino komanda, UAB",,,"Europos pr. 122, LT-46351 Kaunas",,,,,,,,,,moving services; transportation; warehouses; waste management,,https://rekvizitai.vz.lt/en/company/bobino_komanda/
"Sausma, MB",,,"Europos pr. 122, LT-46351 Kaunas",,,,,,,,,,"forestry, forest goods; firewood; transportation; wood and its products",,https://rekvizitai.vz.lt/en/company/sausma/
"UAB ""JND""",,,"Stonės g. 58, Mazūriškiai, LT-92378 Klaipėdos r",,,,,,,,,,"buses, minibuses for rent; car rental; logistics services; passenger transport; tourism, travels, services; transportation","UAB JND is one of the few companies in Klaipėda and in Lithuania providing local, inbound/outbound tourism and passenger transport services: inbound, outbound and local tourism, group and individual trips, tours of European and Scandinavian countries, rental of cars, minivans, minibuses with or without driver...",https://rekvizitai.vz.lt/en/company/uab_jnd/
"UAB ""Ven Group""",,,"Energetikų g. 40, LT-52485 Kaunas",,,,,,,,,,"transportation; junk yards; logistics services; truck sales, parts, service",,https://rekvizitai.vz.lt/en/company/uab_ven_group/
"Acetilenas plius, UAB",,,"Technikos g. 2, Kaunas",,,,,,,,,,"gas, gas equipment; fuel, oil products, petrol stations; plumbing; welding equipment","Cylinder gases, welding equipment and consumables.",https://rekvizitai.vz.lt/en/company/acetilenas_plius/
"Vitlaura, UAB",,,"Kalno g. 3, Asavos k., LT-69285 Kalvarija",,,,,,,,,,"transportation; freight forwarding; labour exchange, employment; logistics services; recruitment","UAB ""Vitlaura"" is a company providing cargo transportation services, whose main destinations are Belgium and the Netherlands. We also provide recruitment services abroad. Cargo transportation Bulk shipping to Holland Bulk cargo transportation to Belgium Transportation of goods by refrigerators Recruitment services...",https://rekvizitai.vz.lt/en/company/vitlaura/
"SODBETA, UAB",,,"Sodo g. 20, LT-76178 Šiauliai",,,,,,,,,,concrete products; building materials; manufacturing; retail; transportation; wholesale,,https://rekvizitai.vz.lt/en/company/sodbeta/
"Gineda ES, UAB",,,"Jono Dailidės g. 8, LT-68307 Marijampolė",,,,,,,,,,transportation; freight forwarding; logistics services; mediation; other activities; rail transport; water transport,,https://rekvizitai.vz.lt/en/company/gineda_es/
"Remiloga, MB",,,"Laisvės pr. 125-404 kab., LT-06118 Vilnius",,,,,,,,,,transportation; freight forwarding; logistics services; warehouses,,https://rekvizitai.vz.lt/en/company/remiloga/
"MAAS logistic, UAB",,,"Naujoji g. 124-801 kab., LT-64471 Alytus",,,,,,,,,,"logistics services; air transport, aviation; customs services, customs; freight forwarding; transportation; warehouses; water transport",,https://rekvizitai.vz.lt/en/company/maas_logistic/
"Transežeruona, UAB",,,"Ceikiškės k. 5, Ceikiškės k., Tauragės r",,,,,,,,,,transportation; firewood; logistics services; rawmaterials,,https://rekvizitai.vz.lt/en/company/transezeruona/
UAB PPN,,,Vilnius,,,,,,,,,,"machinery, equipment, rental; building services; transportation",,https://rekvizitai.vz.lt/en/company/uab_ppn/
"UAB ""Utera""",,,"Aušros g. 93-15, LT-28187 Utena",,,,,,,,,,"wood and its products; building services; forestry, forest goods; tare, packings; transportation",,https://rekvizitai.vz.lt/en/company/uab_utera/
"UAB ""Projeksta""",,,"Salininkai, LT-02228 Vilnius",,,,,,,,,,"land reclamation; building services; designing; landscaping; machinery, equipment, rental; planning; transportation",,https://rekvizitai.vz.lt/en/company/uab_projeksta/
"Transporto centras, UAB",,,"Visagino g. 25-34, Visaginas",,,,,,,,,,passenger transport; logistics services; rawmaterials; transportation,,https://rekvizitai.vz.lt/en/company/transporto_centras/
"UAB ""SIRAMIS""",,,"Draugystės g. 1, Bernatonių k., LT-35302 Panevėžio r",,,,,,,,,,transportation; freight forwarding; logistics services,"Established more than 25 years ago, the transport company UAB Siramis offers freight forwarding and logistics services. This is a family business so we pay maximum attention to each client. We aim to create the highest possible added value to the client so that our freight forwarding services are better than of...",https://rekvizitai.vz.lt/en/company/r_jasinsko_imone/
"Ingstad & Co, UAB",,,"Eigulių g. 21, LT-03150 Vilnius",,,,,,,,,,"logistics services; air transport, aviation; freight forwarding; transportation","Ingstad & Co started its logistics business in Sweden in 1873. Thanks to flexibility, quick decision-making and continuous knowledge development, the company is among the best in this field. We have a wide network of agents around the world and can offer its customers a variety of door-to-door transportation...",https://rekvizitai.vz.lt/en/company/ingstad_co/
"Kamida, UAB",,,"B. Brazdžionio g. 29, LT-48182 Kaunas",,,,,,,,,,"transportation; freight forwarding; logistics services; other activities; retail; truck sales, parts, service; wholesale",,https://rekvizitai.vz.lt/en/company/kamida/
"Klovima, UAB",,,"Tikslo g. 10, Kumpių k., LT-54311 Kauno r",,,,,,,,,,"agriculture, machinery; car rental; elevators, lifts; transportation; truck sales, parts, service",,https://rekvizitai.vz.lt/en/company/uab_klovima/
"Autofaktas, UAB",,,"Paneriu g. 14/ Algirdo g. 46, LT-01312 Vilnius",,,,,,,,,,"transportation; buses, minibuses for rent; logistics services; mail services; passenger transport",,https://rekvizitai.vz.lt/en/company/autofaktas/
"UAB ""Svega""",,,"Smilgų g. 6, Gargždai, LT-96173 Klaipėdos r",,,,,,,,,,"pipework equipment, wastewater treatment; building services; car rental; heating, equipment; land reclamation; public utilities; transportation; waste management",,https://rekvizitai.vz.lt/en/company/svega/
"UAB ""Asa prekyba""",,,"Vilkpėdės g. 4, LT-03151 Vilnius",,,,,,,,,,transportation; freight forwarding; logistics services,"ASA Prekyba – the best partner for transportation of your cargo. For more than 13 years of enthusiastic involvement into provision of services of cargo transportation and forwarding, we have developed a highly secure and reliable operational structure. We are ready to provide added value to your business needs and...",https://rekvizitai.vz.lt/en/company/uab_asa_prekyba/
"Minaltra, UAB",,,"Vaišvydo g. 20, LT-45482 Kaunas",,,,,,,,,,"machinery, equipment, rental; elevators, lifts; hydraulics, pneumatics; transportation",,https://rekvizitai.vz.lt/en/company/minaltra/
"Autofartus, UAB",,,"Sandėlių g. 44, Vilnius",,,,,,,,,,"machinery, equipment, rental; building materials; logistics services; metal, processing, products; transportation; truck sales, parts, service",Our products:StagingConstructional trolleySkipContainersVehicle,https://rekvizitai.vz.lt/en/company/autofartus/
UAB Kamida Logistics,,,"B. Brazdžionio g. 29, LT-48182 Kaunas",,,,,,,,,,transportation; logistics services,Logistics and freight forwarding services.,https://rekvizitai.vz.lt/en/company/uab_kamida_logistics/
"Skanerlita, UAB",,,"Elektros g. 6-12, LT-35183 Panevėžys",,,,,,,,,,"transportation; buses, minibuses for rent; logistics services; moving services",,https://rekvizitai.vz.lt/en/company/skanerlita/
